lambda,EP,log_gf,ele,W,mult
4523.4,3.65,-1.871,FeI ,44.2,829
4537.67,3.27,-2.87,FeI ,17.4,594
4551.65,3.94,-1.928,FeI ,29.1,972
4556.93,3.25,-2.644,FeI ,26.3,638
4566.52,3.3,-2.156,FeI ,46.2,641
4574.22,3.21,-2.353,FeI ,41,554
4593.53,3.94,-1.921,FeI ,29.5,971
4596.41,3.65,-2.09,FeI ,34.1,823
4602.00,1.61,-3.163,FeI ,72.2,39
4630.12,2.28,-2.488,FeI ,74.3, 115
4631.49,4.55,-1.89,FeI ,11.6,1152
4661.54,4.56,-1.186,FeI ,38.5,1207
4690.14,3.69,-1.55,FeI ,58.8,820
4802.88,3.69,-1.527,FeI ,60.4,888
4808.15,3.25,-2.63,FeI ,27.7, 633
4809.94,3.57,-2.542,FeI ,19.4,793
4811.05,3.07,-3.182,FeI ,14.5,467
4885.43,3.88,-1.136,FeI ,72.5,966
4961.92,3.63,-2.301,FeI ,26.7,845
5127.36,0.92,-3.317,FeI ,99.4,16
5141.74,2.42,-2.125,FeI ,89.3,114
5223.19,3.63,-2.252,FeI ,29.4,880
5228.38,4.22,-1.095,FeI ,60,1091
5242.5,3.63,-1.124,FeI ,86.7,843
5243.78,4.26,-1.022,FeI ,62.2,1089
5247.06,0.09,-4.941,FeI ,66.4,1
5294.55,3.64,-2.627,FeI ,15.5,875
5295.32,4.42,-1.518,FeI ,29.3,1146
5376.83,4.29,-2.04,FeI ,14.7,1132
5379.58,3.69,-1.552,FeI ,61.2,928
5386.34,4.15,-1.709,FeI ,32.1,1064
5389.48,4.42,-0.534,FeI ,84.6,1145
5398.28,4.45,-0.684,FeI ,73.3,1145
5409.14,4.37,-1.051,FeI ,55.7,1147
5432.95,4.45,-0.729,FeI ,70.6,1143
5436.3,4.39,-1.319,FeI ,40.5,1161
5464.28,4.14,-1.595,FeI ,38.2,1030
5473.17,4.19,-1.986,FeI ,19.5,1064
5522.45,4.21,-1.419,FeI ,44,1108
5543.94,4.22,-1.07,FeI ,62.2,1062
5546.51,4.37,-1.124,FeI ,52,1145
5560.22,4.43,-1.064,FeI ,52.4,1164
5584.77,3.57,-2.189,FeI ,35.8,782
5618.64,4.21,-1.298,FeI ,50.5,1107
5619.6,4.39,-1.435,FeI ,35,1161
5633.95,4.99,-0.385,FeI ,66.5,1314
5636.7,3.64,-2.511,FeI ,19.8,868
5638.27,4.22,-0.809,FeI ,77.6,1087
5649.99,5.1,-0.785,FeI ,36.2,1314
5651.47,4.47,-1.763,FeI ,18.4,1161
5653.87,4.39,-1.402,FeI ,36.7,1159
5679.03,4.65,-0.756,FeI ,59.5,1183
5680.24,4.19,-2.33,FeI ,10.3,1026
5715.09,4.28,-0.847,FeI ,72.5,1086
5720.9,4.55,-1.805,FeI ,14.9, 1178
5738.24,4.22,-2.164,FeI ,13.6,1084
5775.08,4.22,-1.124,FeI ,59.8,1087
5793.92,4.22,-1.622,FeI ,34,1086
5811.92,4.14,-2.333,FeI ,11.4,1022
5814.81,4.28,-1.82,FeI ,23,1086
5815.22,4.15,-2.364,FeI ,10.5,1055
5853.15,1.49,-5.13,FeI ,7.5,35
5855.08,4.61,-1.531,FeI ,22.3,1179
5862.36,4.55,-0.404,FeI ,87.6,1180
5902.48,4.59,-1.797,FeI ,14.2,1234
5905.68,4.65,-0.775,FeI ,58.7,1181
5927.79,4.65,-1.057,FeI ,42.9, 1175
5929.68,4.55,-1.211,FeI ,39.5,1176
5930.19,4.65,-0.326,FeI ,87.9,1180
5934.66,3.93,-1.091,FeI ,76.4,982
5956.7,0.86,-4.526,FeI ,53.7,14
5983.69,4.55,-0.719,FeI ,67.2, 1175
5987.07,4.79,-0.478,FeI ,70.2,1260
6005.55,2.59,-3.479,FeI ,22.4,207
6024.06,4.55,-0.124,FeI ,110.5, 1178
6056.01,4.73,-0.489,FeI ,72.6,1259
6078.49,4.79,-0.364,FeI ,77.9,1259
6079.01,4.65,-1.008,FeI ,45.8, 1176
6089.57,4.58,-1.273,FeI ,35.3,1327
6094.38,4.65,-1.566,FeI ,19.9,1177
6096.67,3.98,-1.776,FeI ,38.2,959
6120.25,0.92,-5.894,FeI ,5.2,14
6127.91,4.14,-1.417,FeI ,48.9,1017
6151.62,2.18,-3.298,FeI ,49.7,62
6157.73,4.08,-1.238,FeI ,61.5,1015
6159.38,4.61,-1.878,FeI ,11.9,1175
6173.34,2.22,-2.877,FeI ,68,62
6200.32,2.61,-2.397,FeI ,73,207
6219.29,2.2,-2.463,FeI ,89.6,62
6226.74,3.88,-2.069,FeI ,29.2,981
6232.65,3.65,-1.24,FeI ,83.3,816
6240.65,2.22,-3.292,FeI ,48.3,64
6270.23,2.86,-2.573,FeI ,52.8,342
6315.81,4.08,-1.645,FeI ,40.5,1014
6322.69,2.59,-2.368,FeI ,76,207
6335.34,2.2,-2.339,FeI ,97.2,62
6358.68,0.86,-3.907,FeI ,84.4,13
6392.54,2.28,-3.942,FeI ,17.8,109
6481.88,2.28,-2.929,FeI ,64.1,109
6593.88,2.43,-2.384,FeI ,84.6,168
6609.12,2.56,-2.632,FeI ,65.7,206
6627.55,4.55,-1.475,FeI ,28.2,1174
6646.94,2.61,-3.915,FeI ,10.3,206
6699.15,4.59,-2.106,FeI ,8.2,1228
6705.11,4.61,-1.057,FeI ,46.5,1197
6710.32,1.49,-4.81,FeI ,15.9,34
6713.74,4.79,-1.425,FeI ,21.2,1255
6725.36,4.1,-2.187,FeI ,17.6,1052
6726.67,4.61,-1.045,FeI ,47.2,1197
6732.07,4.58,-2.144,FeI ,7.7,1225
6739.52,1.56,-4.902,FeI ,11.7,34
6745.97,4.08,-2.657,FeI ,7.2,1005
6839.84,2.56,-3.377,FeI ,29.9,205
6842.69,4.64,-1.169,FeI ,39.3,1197
6855.72,4.61,-1.674,FeI ,18.6,1194
6857.25,4.08,-2.075,FeI ,22.4,1006
6858.15,4.61,-0.972,FeI ,51.6,1173
6861.94,2.42,-3.795,FeI ,18.9,109
6864.32,4.56,-2.229,FeI ,6.8,1186
4508.28,2.86,-2.403,FeII,87.3,38
4520.22,2.81,-2.563,FeII,81.9,37
4576.34,2.84,-2.947,FeII,64.9,38
4656.98,2.89,-3.676,FeII,33.8,43
4731.47,2.89,-2.515,FeII,82.1,43
4923.93,2.89,-1.541,FeII,154.3,42
5197.57,3.23,-2.293,FeII,80.1,49
5234.63,3.22,-2.235,FeII,83.5,49
5264.81,3.23,-3.091,FeII,45.6,48
5337.75,3.23,-3.338,FeII,35.5,48
5414.07,3.22,-3.568,FeII,26.9,48
5991.38,3.15,-3.539,FeII,31.2,48
6149.25,3.89,-2.719,FeII,36.2,74
6247.56,3.89,-2.347,FeII,52.2,74
6442.97,5.55,-2.399,FeII,5.1,0
6456.39,3.9,-2.11,FeII,63,74
6516.09,2.89,-3.279,FeII,54.2,40
